Motor,3005/53242355/04/000,ICICI Lombard,818 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242348/04/000,ICICI Lombard,813 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/54511405/04/000,ICICI Lombard,787 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/54511406/04/000,ICICI Lombard,787 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/54511407/04/000,ICICI Lombard,787 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/52131102/05/000,ICICI Lombard,773 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53758015/04/000,ICICI Lombard,763 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242346/04/000,ICICI Lombard,735 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242351/04/000,ICICI Lombard,735 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242352/04/000,ICICI Lombard,735 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242353/04/000,ICICI Lombard,735 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/51781274/05/000,ICICI Lombard,732 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/54664169/04/000,ICICI Lombard,730 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242354/04/000,ICICI Lombard,719 ,1-Jan-2012,31-Dec-2012,N,View policy
Motor,3005/53242349/04/000,ICICI Lombard,712 ,1-Jan-2012,31-Dec-2012,N,View policy
Engg,5003/56272348/03/000,ICICI Lombard,2252945 ,1-Feb-2012,31-Jan-2013,Y,View policy
Liability,4007/58249403/02/000,ICICI Lombard,60628 ,18-Mar-2012,17-Mar-2013,Y,View policy
Liability,4008/56749678/03/000,ICICI Lombard,137875 ,18-Mar-2012,17-Mar-2013,Y,View policy
Fire,1001/71301224/00/000,ICICI Lombard,973180 ,1-Apr-2012,31-Mar-2013,Y,View policy
Health,4015/64304026/01/000,ICICI Lombard,1249726 ,1-Apr-2012,31-Mar-2013,Y,View policy
Marine,2001/59271058/02/000,ICICI Lombard,192657 ,1-Apr-2012,31-Mar-2013,Y,View policy
Marine,2002/I/59270648/02/000,ICICI Lombard,25646 ,1-Apr-2012,31-Mar-2013,N,View policy
Marine,2002/E/59259831/02/000,ICICI Lombard,10000 ,1-Apr-2012,31-Mar-2013,Y,View policy
Engg,5003/56561615/04/000,ICICI Lombard,3416 ,1-Apr-2012,31-Mar-2013,Y,View policy
Misc,4002/69596763/01/000,ICICI Lombard,45302 ,1-Apr-2012,31-Mar-2013,Y,View policy
Misc,4017/0006060/05/01/000,ICICI Lombard,23481 ,1-Apr-2012,31-Mar-2013,Y,View policy
Engg,5001/56726283/03/000,ICICI Lombard,66431 ,1-Apr-2012,31-Mar-2013,Y,View policy
Engg,5006/71609290/00/000,ICICI Lombard,25281 ,5-May-2012,4-May-2013,Y,View policy
Fire,1001/67373384/01/000,ICICI Lombard,515028 ,19-May-2012,18-May-2013,Y,View policy
Engg,5001/67863440/01/000,ICICI Lombard,65626 ,19-May-2012,18-May-2013,Y,View policy
Engg,5003/57269600/02/000,ICICI Lombard,498570 ,19-May-2012,18-May-2013,Y,View policy
Misc,4001/57566597/02/000,ICICI Lombard,1800 ,4-Jun-2012,3-Jun-2013,Y,View policy
Health,4005/57004320/02/000,ICICI Lombard,1305352 ,4-Jun-2012,3-Jun-2013,Y,View policy
