5003/56272348/03/000,GEN000033136,15-Jul-2011,Mechanical Breakdown,27019,Paid and closed
5002/57945069/02/000,GEN000032507,11-Jul-2011,Mechanical Breakdown,117682,Paid and closed
5003/56272348/03/000,GEN000033126,9-Jul-2011,Mechanical Breakdown,24753,Paid and closed
5003/56272348/03/000,GEN000032788,7-Jul-2011,Mechanical Breakdown,18470,Paid and closed
5003/56272348/03/000,GEN000032717,5-Jul-2011,Mechanical Breakdown,33603,Paid and closed
5002/57945069/02/000,GEN000032073,30-Jun-2011,Mechanical Breakdown,81557,Paid and closed
5002/57945069/02/000,GEN000032073,30-Jun-2011,Mechanical Breakdown,49217,Paid and closed
5003/56272348/03/000,GEN000032699,29-Jun-2011,Mechanical Breakdown,24250,Paid and closed
5003/56272348/03/000,GEN000031716,25-Jun-2011,Mechanical Breakdown,29009,Paid and closed
5003/56272348/03/000,GEN000031100,21-Jun-2011,Mechanical Breakdown,32862,Paid and closed
5003/56272348/03/000,GEN000032278,19-Jun-2011,Mechanical Breakdown,31971,Paid and closed
5002/57945069/02/000,GEN000031132,16-Jun-2011,Accidental Damage,33881,Paid and closed
5003/56272348/03/000,GEN000031098,13-Jun-2011,Mechanical Breakdown,18403,Paid and closed
5003/56272348/03/000,GEN000031098,13-Jun-2011,Accidental Damage,44185,Paid and closed
5003/56272348/03/000,GEN000031254,12-Jun-2011,Mechanical Breakdown,45996,Paid and closed
5003/56272348/03/000,GEN000032277,10-Jun-2011,Fire,35453,Paid and closed
5002/57945069/02/000,GEN000030475,2-Jun-2011,Mechanical Breakdown,36319,Paid and closed
5003/56272348/03/000,GEN000030475,2-Jun-2011,Mechanical Breakdown,38660,Paid and closed
5003/56272348/03/000,GEN000029996,21-May-2011,Mechanical Breakdown,74148,Paid and closed
5003/56272348/03/000,GEN000029981,17-May-2011,Mechanical Breakdown,80295,Paid and closed
5003/56272348/03/000,GEN000030275,16-May-2011,Mechanical Breakdown,18025,Paid and closed
5003/56272348/03/000,GEN000027942,5-May-2011,Mechanical Breakdown,18997,Paid and closed
5003/56272348/03/000,GEN000027942,5-May-2011,Electrical Breakdown,26118,Paid and closed
5003/56272348/03/000,GEN000028087,1-May-2011,Mechanical Breakdown,42563,Paid and closed
5003/56272348/03/000,GEN000028088,30-Apr-2011,Mechanical Breakdown,40565,Paid and closed
5003/56272348/03/000,GEN000026966,25-Apr-2011,Mechanical Breakdown,42485,Paid and closed
5002/57945069/02/000,GEN000027257,22-Apr-2011,Mechanical Breakdown,41537,Paid and closed
5002/57945069/02/000,GEN000045585,19-Apr-2011,Mechanical Breakdown,66765,Paid and closed
5002/57945069/02/000,GEN000045585,19-Apr-2011,Electrical Breakdown,59093,Paid and closed
5002/57945069/02/000,GEN000027798,16-Apr-2011,Mechanical Breakdown,58418,Paid and closed
5003/56272348/03/000,GEN000027798,16-Apr-2011,Electrical Breakdown,29641,Paid and closed
5002/57945069/02/000,GEN000026982,12-Apr-2011,Electrical Breakdown,59093,Paid and closed
5003/56272348/03/000,GEN000025784,10-Apr-2011,Mechanical Breakdown,109860,Paid and closed
5003/56272348/03/000,GEN000027671,7-Apr-2011,Mechanical Breakdown,52810,Paid and closed
